title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
Honeywell International (HON) Showing Bullish Technicals With Support At $102.78,urn:contentItem:5HSJ-BNN1-JDN4-T1BV-00000-00,2016-01-04,"January 4, 2016 Monday",132,1,U.S. Federal,2016-01-04,Fresh Brewed Media,,News,Available,345147,FRBREW2016,251 words,,251,English,1316
Potential Honeywell International (HON) Trade Has 2.21% Downside Protection,urn:contentItem:5HT6-86X1-JDN4-T3S0-00000-00,2016-01-07,"January 7, 2016 Thursday",132,2,U.S. Federal,2016-01-07,Fresh Brewed Media,,News,Available,345147,FRBREW2016,316 words,,316,English,1316
Honeywell International (HON) Trading Near $101.77 Support Level,urn:contentItem:5HT0-9171-JDN4-T1C4-00000-00,2016-01-06,"January 6, 2016 Wednesday",132,3,U.S. Federal,2016-01-06,Fresh Brewed Media,,News,Available,345147,FRBREW2016,251 words,,251,English,1316
Potential Honeywell International (HON) Trade Has 2.37% Downside Protection,urn:contentItem:5HSS-9W41-F146-H228-00000-00,2016-01-05,"January 5, 2016 Tuesday",132,4,U.S. Federal,2016-01-05,Fresh Brewed Media,,News,Available,345147,FRBREW2016,218 words,,218,English,1316
Park National Lowers Stake in Honeywell International Inc. (HON),urn:contentItem:5HT0-7F41-F03R-N4CD-00000-00,2016-01-07,"January 7, 2016 Thursday",131,5,U.S. Federal,2016-01-07,Watchlist News,Hanz Christensen,News,Available,484299,AMCN-135127,1189 words,Hanz Christensen,1189,English,1316
Honeywell International Inc. (HON) Earns 'Buy' Rating from Argus,urn:contentItem:5HT6-7351-F03R-N1KX-00000-00,2016-01-07,"January 7, 2016 Thursday",131,6,U.S. Federal,2016-01-07,Watchlist News,Micah Haroldson,News,Available,484299,AMCN-135127,1159 words,Micah Haroldson,1159,English,1316
Morningstar Assigns A Credit Rating to Honeywell International Inc. (HON),urn:contentItem:5HRS-YVD1-F03R-N4GN-00000-00,2016-01-01,"January 1, 2016 Friday",131,7,U.S. Federal,2016-01-01,Watchlist News,Micah Haroldson,News,Available,484299,AMCN-135127,1184 words,Micah Haroldson,1184,English,1316
Renaissance Investment Group Takes Position in Honeywell International Inc. (HON),urn:contentItem:5HST-HYV1-F03R-N0X1-00000-00,2016-01-06,"January 6, 2016 Wednesday",131,8,U.S. Federal,2016-01-06,Watchlist News,Nicole Kennedy,News,Available,484299,AMCN-135127,1204 words,Nicole Kennedy,1204,English,1316
"Regulatory update: Public Utility Commission of Texas; OVATION ACQUISITION I LLC,, has submitted (45188-505 ) AFFIDAVIT TO REBUTTAL TESTIMONY AND EXHIBITS OF HON. LEIF M. CLARK",urn:contentItem:5HT0-PMV1-DXCW-D565-00000-00,2016-01-06,"January 6, 2016 Wednesday",128,9,U.S. Federal; Texas,2016-01-06,US Official News,,News,Available,400469,USOFFN2016,257 words,,257,English,1316
"Washington: SPEECH OF HON. THEODORE E. DEUTCH OF FLORIDA IN THE HOUSE OF REPRESENTATIVES TUESDAY, JANUARY 5, 2016",urn:contentItem:5HT0-PN21-DXCW-D509-00000-00,2016-01-06,"January 6, 2016 Wednesday",125,10,U.S. Federal; Florida,2016-01-06,US Official News,,News,Available,400469,USOFFN2016,223 words,,223,English,1316
Honeywell International (HON) Showing Support Near $97.28,urn:contentItem:5HTD-7DR1-F146-H02J-00000-00,2016-01-08,"January 8, 2016 Friday",133,1,U.S. Federal,2016-01-08,Fresh Brewed Media,,News,Available,345147,FRBREW2016,256 words,,256,English,1711
Potential Honeywell International (HON) Trade Has 3.20% Downside Protection,urn:contentItem:5HV2-4YN1-JDN4-T08K-00000-00,2016-01-11,"January 11, 2016 Monday",132,2,U.S. Federal,2016-01-11,Fresh Brewed Media,,News,Available,345147,FRBREW2016,250 words,,250,English,1711
Honeywell International (HON) Trading Near $101.09 Resistance Level,urn:contentItem:5HVP-2H01-F146-H01V-00000-00,2016-01-14,"January 14, 2016 Thursday",132,3,U.S. Federal,2016-01-14,Fresh Brewed Media,,News,Available,345147,FRBREW2016,204 words,,204,English,1711
Potential Honeywell International (HON) Trade Has 3.13% Downside Protection,urn:contentItem:5HVG-39S1-F146-H4JP-00000-00,2016-01-13,"January 13, 2016 Wednesday",131,4,U.S. Federal,2016-01-13,Fresh Brewed Media,,News,Available,345147,FRBREW2016,261 words,,261,English,1711
Honeywell International Inc. (HON) Given 'A' Credit Rating,urn:contentItem:5HTG-T7J1-F03R-N039-00000-00,2016-01-09,"January 9, 2016 Saturday",131,5,U.S. Federal,2016-01-09,Watchlist News,Micah Haroldson,News,Available,484299,AMCN-135127,1197 words,Micah Haroldson,1197,English,1711
Pennsylvania : Karen F. Copenhaver to Receive Hon. Sylvia H. Rambo Award,urn:contentItem:5HTV-WXC1-J9XT-P52F-00000-00,2016-01-10,"January 10, 2016 Sunday",128,6,U.S. Federal; Arizona; California; Massachusetts; Pennsylvania; Rhode Island; Vermont,2016-01-10,US Official News,,News,Available,400469,USOFFN2016,736 words,,736,English,1711
"US Patent Issued to HON HAI PRECISION INDUSTRY on Jan. 5 for ""Hanging device for anodizing"" (Chinese Inventor)",urn:contentItem:5HVC-39G1-F12F-F3H2-00000-00,2016-01-13,"January 13, 2016 Wednesday",127,7,U.S. Federal; Virginia,2016-01-13,US Fed News,,News,Available,282801,USFDNW2016,266 words,,266,English,1711
"Regulatory update: New York State Department of Public Service; Anne Smith, has submitted (14-F-0485) Hon. Kathleen Burgess Secretary to the commission NYS Dept. of Public Service 3 Empire State Plaza A ..",urn:contentItem:5HVR-MDC1-DXCW-D3GF-00000-00,2016-01-14,"January 14, 2016 Thursday",127,8,U.S. Federal; New York,2016-01-14,US Official News,,News,Available,400469,USOFFN2016,236 words,,236,English,1711
"US Patent Issued to Tsinghua University , HON HAI PRECISION INDUSTRY on Jan. 12 for ""Culture substrate comprising carbon nanotube structure"" (Chinese Inventors)",urn:contentItem:5HV9-FBH1-JDKC-R3PY-00000-00,2016-01-13,"January 13, 2016 Wednesday",127,9,U.S. Federal; Virginia,2016-01-13,US Fed News,,News,Available,282801,USFDNW2016,214 words,,214,English,1711
"US Patent Issued to HON HAI PRECISION INDUSTRY on Jan. 5 for ""Image stabilizer and image-shake correcting method"" (Taiwanese Inventors)",urn:contentItem:5HVF-M1N1-F12F-F277-00000-00,2016-01-13,"January 13, 2016 Wednesday",127,10,U.S. Federal; Virginia,2016-01-13,US Fed News,,News,Available,282801,USFDNW2016,250 words,,250,English,1711
