Date,news_sentiment_daily_avg,news_pos_sentiment_count,twitter_pos_sentiment_count
2021-01-01,,0.0,1.0
2021-01-04,,0.0,
2021-01-05,0.0,0.0,1.0
2021-01-06,0.0,0.0,1.0
2021-01-07,0.0,0.0,3.0
2021-01-08,-0.0213,0.0,12.0
2021-01-11,0.0,0.0,
2021-01-12,0.0,0.0,3.0
2021-01-13,-0.6453,0.0,5.0
2021-01-14,0.4592,1.0,
2021-01-15,0.2689,2.0,4.0
2021-01-18,,0.0,
2021-01-19,,0.0,
2021-01-20,0.0,0.0,1.0
2021-01-21,0.0235,1.0,2.0
2021-01-22,0.0,0.0,2.0
2021-01-25,,0.0,
2021-01-26,0.9371,4.0,5.0
2021-01-27,,0.0,2.0
2021-01-28,0.0,0.0,1.0
2021-01-29,0.0,0.0,2.0
2021-02-01,,0.0,
2021-02-02,0.0,0.0,1.0
2021-02-03,0.0,0.0,2.0
2021-02-04,0.0,0.0,1.0
2021-02-05,-0.0905,1.0,7.0
2021-02-08,,0.0,
2021-02-09,0.0,0.0,4.0
2021-02-10,0.0,0.0,3.0
2021-02-11,0.0,0.0,2.0
2021-02-12,,0.0,
2021-02-15,0.0,0.0,1.0
2021-02-16,,0.0,
2021-02-17,0.0,0.0,2.0
2021-02-18,0.0,0.0,1.0
2021-02-19,0.4721,40.0,47.0
2021-02-22,0.9997,8.0,5.0
2021-02-23,0.4196,15.0,18.0
2021-02-24,0.0226,1.0,8.0
2021-02-25,0.0132,2.0,17.0
2021-02-26,0.0,0.0,7.0
2021-03-01,0.0,0.0,5.0
2021-03-02,0.0244,1.0,3.0
2021-03-03,0.0489,1.0,2.0
2021-03-04,0.4396,2.0,2.0
2021-03-05,0.0,0.0,4.0
2021-03-08,0.0,0.0,2.0
2021-03-09,,0.0,2.0
2021-03-10,0.3617,1.0,
2021-03-11,0.0,0.0,6.0
2021-03-12,0.0,0.0,5.0
2021-03-15,0.0,0.0,
2021-03-16,0.172,1.0,3.0
2021-03-17,0.0,0.0,1.0
2021-03-18,0.0213,1.0,7.0
2021-03-19,0.0,0.0,7.0
2021-03-22,,0.0,4.0
2021-03-23,-0.3654,0.0,1.0
2021-03-24,,0.0,4.0
2021-03-25,0.6321,1.0,4.0
2021-03-26,0.0,0.0,1.0
2021-03-29,,0.0,
2021-03-30,0.0,0.0,
2021-03-31,0.0,0.0,11.0
2021-04-01,0.0,0.0,1.0
2021-04-02,,0.0,
2021-04-05,0.0,0.0,
2021-04-06,0.0,0.0,3.0
2021-04-07,0.0,0.0,2.0
2021-04-08,0.0642,1.0,1.0
2021-04-09,0.0,0.0,2.0
2021-04-12,0.0,0.0,1.0
2021-04-13,0.1954,3.0,6.0
2021-04-14,0.0568,1.0,4.0
2021-04-15,0.0,0.0,1.0
2021-04-16,0.0,0.0,2.0
2021-04-19,,0.0,2.0
2021-04-20,0.6321,1.0,1.0
2021-04-21,0.0,0.0,1.0
2021-04-22,0.0,0.0,2.0
2021-04-23,0.0,0.0,1.0
2021-04-26,,0.0,1.0
2021-04-27,,0.0,1.0
2021-04-28,,0.0,2.0
2021-04-29,,0.0,2.0
2021-04-30,,0.0,1.0
2021-05-03,,0.0,
2021-05-04,0.0,0.0,1.0
2021-05-05,0.0,0.0,5.0
2021-05-06,0.3478,1.0,2.0
2021-05-07,0.2163,2.0,6.0
2021-05-10,0.3463,1.0,1.0
2021-05-11,0.0,0.0,1.0
2021-05-12,,0.0,2.0
2021-05-13,-0.2282,2.0,3.0
2021-05-14,-0.9697,1.0,8.0
2021-05-17,0.4188,1.0,1.0
2021-05-18,0.0,0.0,5.0
2021-05-19,-0.014,0.0,4.0
2021-05-20,-0.8779,0.0,3.0
2021-05-21,0.5484,41.0,34.0
2021-05-24,0.8829,6.0,2.0
2021-05-25,0.639,12.0,25.0
2021-05-26,0.2315,3.0,12.0
2021-05-27,0.0,0.0,5.0
2021-05-28,0.1708,1.0,4.0
2021-05-31,0.6321,1.0,2.0
2021-06-01,,0.0,
2021-06-02,0.0,0.0,2.0
2021-06-03,0.0,0.0,
2021-06-04,0.0,0.0,4.0
2021-06-07,,0.0,1.0
2021-06-08,0.0,0.0,3.0
2021-06-09,0.0,0.0,1.0
2021-06-10,0.0,0.0,1.0
2021-06-11,-0.6321,0.0,6.0
2021-06-14,-0.6321,0.0,
2021-06-15,-0.1463,0.0,3.0
2021-06-16,,0.0,2.0
2021-06-17,,0.0,3.0
2021-06-18,-0.027,0.0,3.0
2021-06-21,,0.0,
2021-06-22,0.9502,3.0,4.0
2021-06-23,0.0,0.0,3.0
2021-06-24,0.0,0.0,2.0
2021-06-25,0.2902,2.0,4.0
2021-06-28,,0.0,
2021-06-29,0.0,0.0,1.0
2021-06-30,,,
2021-07-01,0.0,0.0,7.0
2021-07-02,0.0,0.0,2.0
2021-07-05,,0.0,
2021-07-06,0.6321,1.0,
2021-07-07,0.0,0.0,1.0
2021-07-08,0.0,0.0,
2021-07-09,0.0,0.0,1.0
2021-07-12,0.0,0.0,1.0
2021-07-13,-0.1529,0.0,2.0
2021-07-14,0.0118,1.0,
2021-07-15,0.0,0.0,2.0
2021-07-16,0.0,0.0,1.0
2021-07-19,,0.0,1.0
2021-07-20,0.6321,1.0,
2021-07-21,0.0552,1.0,8.0
2021-07-22,0.0,0.0,1.0
2021-07-23,,0.0,1.0
2021-07-26,,0.0,1.0
2021-07-27,,0.0,
2021-07-28,0.0,0.0,1.0
2021-07-29,,0.0,2.0
2021-07-30,0.6321,1.0,3.0
2021-08-02,,0.0,3.0
2021-08-03,0.0,0.0,
2021-08-04,0.0,0.0,4.0
2021-08-05,,0.0,
2021-08-06,0.0006,1.0,2.0
2021-08-09,0.0,0.0,
2021-08-10,0.0436,1.0,2.0
2021-08-11,0.0,0.0,2.0
2021-08-12,0.0,0.0,5.0
2021-08-13,0.0,0.0,2.0
2021-08-16,0.0,0.0,1.0
2021-08-17,0.0,0.0,
2021-08-18,0.0019,1.0,
2021-08-19,0.0152,1.0,2.0
2021-08-20,0.2415,48.0,46.0
2021-08-23,0.3329,1.0,4.0
2021-08-24,0.1819,4.0,7.0
2021-08-25,0.0,0.0,3.0
2021-08-26,0.0323,5.0,23.0
2021-08-27,0.0,0.0,1.0
2021-08-30,,0.0,1.0
2021-08-31,0.067,1.0,1.0
2021-09-01,,0.0,0.0
2021-09-02,0.0,0.0,2.0
2021-09-03,0.0,0.0,3.0
2021-09-06,,0.0,0.0
2021-09-07,0.0,0.0,4.0
2021-09-08,-0.435,0.0,6.0
2021-09-09,0.0,0.0,2.0
2021-09-10,-0.6321,0.0,3.0
2021-09-13,,0.0,2.0
2021-09-14,-0.0167,0.0,2.0
2021-09-15,-0.5052,0.0,1.0
2021-09-16,0.0892,1.0,1.0
2021-09-17,-0.4275,0.0,0.0
2021-09-20,,0.0,0.0
2021-09-21,-0.087,0.0,5.0
2021-09-22,-0.0583,0.0,2.0
2021-09-23,0.424,1.0,2.0
2021-09-24,0.8647,2.0,2.0
2021-09-27,0.0,0.0,0.0
2021-09-28,0.6321,1.0,2.0
2021-09-29,-0.6321,0.0,4.0
2021-09-30,-0.2208,0.0,2.0
2021-10-01,-0.0186,0.0,2.0
2021-10-04,-0.1389,0.0,0.0
2021-10-05,-0.1194,0.0,1.0
2021-10-06,-0.486,0.0,0.0
2021-10-07,0.3854,1.0,1.0
2021-10-08,0.0893,1.0,0.0
2021-10-11,0.0,0.0,2.0
2021-10-12,-0.2714,0.0,2.0
2021-10-13,-0.0193,0.0,0.0
2021-10-14,0.0013,4.0,0.0
2021-10-15,0.001,6.0,12.0
2021-10-18,0.0,0.0,0.0
2021-10-19,-0.0118,1.0,4.0
2021-10-20,0.009,1.0,7.0
2021-10-21,0.0014,1.0,0.0
2021-10-22,-0.0028,0.0,0.0
2021-10-25,0.0,0.0,0.0
2021-10-26,0.0496,1.0,6.0
2021-10-27,-0.4186,0.0,2.0
2021-10-28,-0.0015,1.0,3.0
2021-10-29,-0.138,2.0,3.0
2021-11-01,0.0005,1.0,1.0
2021-11-02,0.0355,6.0,10.0
2021-11-03,-0.0022,0.0,4.0
2021-11-04,-0.0054,0.0,2.0
2021-11-05,0.0115,1.0,2.0
2021-11-08,0.1139,1.0,2.0
2021-11-09,0.0135,2.0,6.0
2021-11-10,-0.183,0.0,2.0
2021-11-11,-0.0079,1.0,1.0
2021-11-12,0.0148,1.0,0.0
2021-11-15,0.0,0.0,0.0
2021-11-16,0.0178,2.0,1.0
2021-11-17,0.0045,1.0,5.0
2021-11-18,-0.0007,2.0,28.0
2021-11-19,0.0056,4.0,22.0
2021-11-22,0.0271,1.0,2.0
2021-11-23,0.0913,2.0,2.0
2021-11-24,0.3949,36.0,26.0
2021-11-25,0.6724,56.0,52.0
2021-11-26,0.3298,5.0,8.0
2021-11-29,0.7913,2.0,2.0
2021-11-30,0.5077,5.0,15.0
2021-12-01,-0.8647,0.0,2.0
2021-12-02,-0.7278,0.0,3.0
2021-12-03,0.4068,1.0,1.0
2021-12-06,0.0,0.0,0.0
2021-12-07,0.6321,1.0,3.0
2021-12-08,0.0,0.0,3.0
2021-12-09,-0.0279,1.0,2.0
2021-12-10,-0.0098,0.0,4.0
2021-12-13,0.0,0.0,0.0
2021-12-14,-0.0015,0.0,1.0
2021-12-15,-0.0004,0.0,2.0
2021-12-16,0.057,1.0,1.0
2021-12-17,-0.0086,0.0,5.0
2021-12-20,0.6321,1.0,0.0
2021-12-21,-0.6954,0.0,1.0
2021-12-22,0.0497,1.0,2.0
2021-12-23,-0.0874,0.0,4.0
2021-12-24,0.0333,1.0,0.0
2021-12-27,,0.0,1.0
2021-12-28,0.6321,1.0,0.0
2021-12-29,-0.6321,0.0,1.0
2021-12-30,-0.3843,0.0,1.0
2021-12-31,-0.2084,0.0,1.0
2022-01-03,0.0,0.0,0.0
2022-01-04,0.1682,1.0,3.0
2022-01-05,0.0023,2.0,8.0
2022-01-06,0.0358,2.0,10.0
2022-01-07,0.0228,1.0,5.0
2022-01-10,,0.0,1.0
2022-01-11,0.2386,2.0,3.0
2022-01-12,0.1785,1.0,1.0
2022-01-13,-0.5665,1.0,7.0
2022-01-14,-0.0314,1.0,8.0
2022-01-17,,0.0,0.0
2022-01-18,-0.0889,0.0,0.0
2022-01-19,-0.3501,1.0,6.0
2022-01-20,-0.1577,0.0,3.0
2022-01-21,-0.0033,0.0,1.0
2022-01-24,0.0,0.0,0.0
2022-01-25,-0.1787,1.0,1.0
2022-01-26,0.1178,1.0,1.0
2022-01-27,-0.4233,0.0,4.0
2022-01-28,-0.2932,0.0,4.0
2022-01-31,0.0,0.0,0.0
2022-02-01,0.9502,3.0,3.0
2022-02-02,0.8489,3.0,2.0
2022-02-03,0.054,1.0,3.0
2022-02-04,-0.4189,0.0,0.0
2022-02-07,0.5482,1.0,0.0
2022-02-08,0.8647,2.0,2.0
2022-02-09,0.022,3.0,13.0
2022-02-10,0.7674,6.0,14.0
2022-02-11,-0.1082,0.0,4.0
2022-02-14,0.2169,1.0,2.0
2022-02-15,-0.1804,0.0,2.0
2022-02-16,0.3034,2.0,0.0
2022-02-17,0.2877,2.0,2.0
2022-02-18,0.4263,39.0,36.0
2022-02-21,0.6321,1.0,2.0
2022-02-22,0.925,5.0,3.0
2022-02-23,0.2493,3.0,13.0
2022-02-24,0.0232,3.0,5.0
2022-02-25,0.0061,1.0,0.0
2022-02-28,0.6321,1.0,0.0
2022-03-01,0.0013,1.0,1.0
2022-03-02,-0.2511,0.0,1.0
2022-03-03,0.1742,2.0,5.0
2022-03-04,0.2477,3.0,3.0
2022-03-07,,0.0,2.0
2022-03-08,0.1572,2.0,6.0
2022-03-09,-0.0117,0.0,1.0
2022-03-10,0.0116,3.0,1.0
2022-03-11,0.0088,1.0,3.0
2022-03-14,0.6321,1.0,0.0
2022-03-15,0.1717,2.0,5.0
2022-03-16,-0.4,1.0,3.0
2022-03-17,-0.5748,1.0,0.0
2022-03-18,0.1718,1.0,4.0
2022-03-21,0.6321,1.0,2.0
2022-03-22,0.0281,2.0,9.0
2022-03-23,0.2495,4.0,9.0
2022-03-24,0.4592,1.0,10.0
2022-03-25,0.1523,1.0,6.0
2022-03-28,0.0655,2.0,3.0
2022-03-29,0.0969,4.0,6.0
2022-03-30,-0.7725,0.0,3.0
2022-03-31,-0.3079,0.0,4.0
2022-04-01,-0.3984,0.0,0.0
2022-04-04,,0.0,0.0
2022-04-05,0.0222,1.0,0.0
2022-04-06,-0.0359,0.0,0.0
2022-04-07,-0.6321,0.0,0.0
2022-04-08,0.266,1.0,1.0
2022-04-11,,0.0,2.0
2022-04-12,-0.0363,0.0,0.0
2022-04-13,0.0464,1.0,4.0
2022-04-14,0.1902,1.0,1.0
2022-04-15,0.8647,2.0,5.0
2022-04-18,,0.0,2.0
2022-04-19,-0.1078,0.0,3.0
2022-04-20,-0.6321,0.0,1.0
2022-04-21,-0.4034,0.0,0.0
2022-04-22,-0.0213,0.0,0.0
2022-04-25,-0.3212,0.0,0.0
2022-04-26,-0.8965,0.0,6.0
2022-04-27,-0.6321,0.0,4.0
2022-04-28,0.1462,1.0,0.0
2022-04-29,-0.6321,0.0,0.0
2022-05-02,,0.0,0.0
2022-05-03,0.0502,2.0,1.0
2022-05-04,0.3919,1.0,4.0
2022-05-05,0.2033,1.0,1.0
2022-05-06,-0.383,0.0,0.0
2022-05-09,,0.0,0.0
2022-05-10,-0.2122,0.0,3.0
2022-05-11,0.6321,1.0,3.0
2022-05-12,-0.1776,0.0,1.0
2022-05-13,-0.0584,0.0,2.0
2022-05-16,0.0,0.0,0.0
2022-05-17,0.858,3.0,3.0
2022-05-18,0.6321,1.0,1.0
2022-05-19,-0.0094,1.0,6.0
2022-05-20,0.401,30.0,45.0
2022-05-23,-0.0853,1.0,4.0
2022-05-24,0.0728,6.0,10.0
2022-05-25,0.3049,2.0,6.0
2022-05-26,0.0127,3.0,15.0
2022-05-27,0.0467,1.0,2.0
2022-05-30,,0.0,0.0
2022-05-31,0.0,0.0,0.0
2022-06-01,-0.0012,1.0,1.0
2022-06-02,-0.0373,0.0,1.0
2022-06-03,0.0325,1.0,3.0
2022-06-06,,0.0,0.0
2022-06-07,0.3886,1.0,1.0
2022-06-08,0.7092,2.0,0.0
2022-06-09,-0.0143,0.0,0.0
2022-06-10,-0.3865,0.0,1.0
2022-06-13,0.0,0.0,0.0
2022-06-14,-0.2551,0.0,2.0
2022-06-15,-0.0296,0.0,0.0
2022-06-16,0.2167,1.0,0.0
2022-06-17,-0.0752,0.0,0.0
2022-06-20,,0.0,0.0
2022-06-21,0.0,0.0,1.0
2022-06-22,0.0893,1.0,1.0
2022-06-23,-0.7963,0.0,0.0
2022-06-24,-0.8343,0.0,8.0
2022-06-27,,0.0,0.0
2022-06-28,0.1256,1.0,2.0
2022-06-29,-0.3713,0.0,0.0
2022-06-30,-0.0266,0.0,3.0
2022-07-01,-0.4247,0.0,3.0
2022-07-04,,0.0,1.0
2022-07-05,,0.0,2.0
2022-07-06,-0.087,0.0,2.0
2022-07-07,-0.2481,0.0,2.0
2022-07-08,0.1609,5.0,13.0
2022-07-11,-0.1229,0.0,0.0
2022-07-12,-0.1086,0.0,2.0
2022-07-13,-0.1905,0.0,4.0
2022-07-14,-0.1112,1.0,1.0
2022-07-15,-0.0566,0.0,1.0
2022-07-18,0.0,0.0,1.0
2022-07-19,0.0,0.0,0.0
2022-07-20,0.3215,1.0,2.0
2022-07-21,0.0549,1.0,0.0
2022-07-22,0.1856,1.0,0.0
2022-07-25,0.0,0.0,2.0
2022-07-26,0.4698,1.0,3.0
2022-07-27,-0.3585,1.0,0.0
2022-07-28,0.6321,1.0,0.0
2022-07-29,0.5009,1.0,2.0
2022-08-01,0.0,0.0,2.0
2022-08-02,-0.0289,0.0,2.0
2022-08-03,-0.003,0.0,1.0
2022-08-04,0.0532,1.0,0.0
2022-08-05,0.0746,1.0,1.0
2022-08-08,,0.0,0.0
2022-08-09,0.3261,1.0,0.0
2022-08-10,-0.6321,0.0,1.0
2022-08-11,0.0239,1.0,3.0
2022-08-12,0.5844,5.0,7.0
2022-08-15,0.0,0.0,2.0
2022-08-16,-0.1034,0.0,0.0
2022-08-17,0.1512,1.0,0.0
2022-08-18,-0.8647,0.0,0.0
2022-08-19,0.3996,33.0,28.0
2022-08-22,0.1859,3.0,12.0
2022-08-23,0.0713,4.0,12.0
